category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority,reassignment_count,predicted_by_model
Database,Closed,2023-04-25 0:40:18,2023-04-14 23:54:00,Luke Wilson,INC000000620,system,India,Charlie Whitherspoon,Bud Richman,2023-04-25 0:40:18,Database query optimization issue at India location,Database,3 - Moderate,6,FALSE
Hardware,Closed,2023-04-25 4:21:38,2023-04-15 11:57:00,Howard Johnson,INC000000621,employee,Australia,Fred Luddy,ITIL User,2023-04-25 4:21:38,Printer789 is not responding,Hardware,2 - High,7,FALSE
Hardware,Closed,2023-04-19 16:48:00,2023-04-18 19:22:00,Howard Johnson,INC000000623,employee,Australia,Beth Anglin,Don Goodliffe,2023-05-03 23:18:08,Printer788 is not working properly,Hardware,1 - Critical,0,TRUE
Network,Closed,2023-04-19 16:48:00,2023-04-18 22:20:00,Fred Luddy,INC000000624,system,India,Howard Johnson,Bud Richman,2023-04-24 2:25:14,Network outage in India location,Network,1 - Critical,0,TRUE
Database,Resolved,2023-04-19 16:48:00,2023-04-19 7:07:00,Fred Luddy,INC000000625,employee,India,Luke Wilson,ITIL User,2023-04-26 0:28:51,Database Server Outage,Database,2 - High,0,TRUE
Hardware,Resolved,2023-04-19 16:48:00,2023-04-19 14:41:00,Fred Luddy,INC000000626,employee,Australia,Charlie Whitherspoon,ITIL User,2023-04-30 20:00:35,Printer556 is not working,Hardware,1 - Critical,0,TRUE
Hardware,Resolved,2023-05-05 15:01:00,2023-05-02 15:01:00,Luke Wilson,INC000000638,admin,Australia,Howard Johnson,Don Goodliffe,2023-05-08 0:19:50,Printer546 is not working properly,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-04-26 13:43:55,2023-04-20 22:34:00,Beth Anglin,INC000000627,admin,Australia,Howard Johnson,Don Goodliffe,2023-04-26 13:43:55,Printer454 failed in office,Hardware,1 - Critical,1,TRUE
Hardware,Closed,2023-05-05 0:21:12,2023-04-21 3:46:00,Beth Anglin,INC000000628,system,United States,Luke Wilson,Don Goodliffe,2023-05-05 0:21:12,Desktop PC not turning on,Hardware,2 - High,1,TRUE
Software,Closed,2023-05-06 0:19:07,2023-04-21 8:13:00,Charlie Whitherspoon,INC000000629,employee,Australia,Luke Wilson,David Loo,2023-05-06 0:19:07,Software license renewal required,Software,4 - Low,1,TRUE
Hardware,Closed,2023-04-29 7:22:14,2023-04-21 17:22:00,Luke Wilson,INC000000630,system,UK,Charlie Whitherspoon,David Loo,2023-04-29 7:22:14,Issue with UK server hardware,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-04-26 7:15:32,2023-04-22 10:55:00,Howard Johnson,INC000000631,system,Australia,Luke Wilson,David Loo,2023-04-26 7:15:32,Issue with Printer546 in Australia,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-05-10 3:20:31,2023-04-23 21:20:00,Howard Johnson,INC000000632,system,Australia,Fred Luddy,David Loo,2023-05-10 3:20:31,Printer827 is not working properly in Australia,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-05-10 23:55:09,2023-04-27 3:25:00,Howard Johnson,INC000000633,system,UK,Charlie Whitherspoon,Don Goodliffe,2023-05-10 23:55:09,Faulty keyboard on workstation,Hardware,2 - High,3,FALSE
Network,Closed,2023-05-05 1:59:49,2023-04-27 10:45:00,Luke Wilson,INC000000634,admin,UK,Charlie Whitherspoon,ITIL User,2023-05-05 1:59:49,Network outage in UK site,Network,1 - Critical,4,FALSE
Hardware,Resolved,2023-05-06 8:53:57,2023-04-28 1:24:00,Luke Wilson,INC000000635,system,Australia,Howard Johnson,David Loo,2023-05-06 8:53:57,Printer547 isn't responding,Hardware,2 - High,5,FALSE
Hardware,Closed,2023-05-14 8:03:47,2023-04-30 0:53:00,Charlie Whitherspoon,INC000000636,admin,India,Howard Johnson,Don Goodliffe,2023-05-14 8:03:47,Issue with the server hardware,Hardware,1 - Critical,6,FALSE
Hardware,Resolved,2023-05-05 19:25:33,2023-05-02 14:34:00,Beth Anglin,INC000000637,employee,Australia,Luke Wilson,David Loo,2023-05-05 19:25:33,Printer546 is broken in Australia,Hardware,2 - High,7,FALSE
Hardware,Closed,2023-05-02 15:01:00,2023-04-19 16:48:00,Charlie Whitherspoon,INC000000639,admin,Australia,Beth Anglin,Don Goodliffe,2023-05-15 10:38:16,Printer472 in Australia is not responding,Hardware,1 - Critical,0,TRUE
Hardware,Resolved,2023-05-14 11:45:00,2023-05-13 10:11:00,Fred Luddy,INC000000652,admin,Australia,Howard Johnson,Don Goodliffe,2023-05-24 9:29:19,Issue with Printer546 in Australia,Hardware,3 - Moderate,0,TRUE
Hardware,Closed,2023-05-04 21:57:00,2023-05-03 21:57:00,Beth Anglin,INC000000640,admin,UK,Howard Johnson,David Loo,2023-05-04 21:57:00,UK Desktop PC with ID: Desktop123 has stopped working,Hardware,2 - High,1,FALSE
Software,Closed,2023-05-14 6:27:00,2023-05-04 13:17:00,Luke Wilson,INC000000641,system,India,Charlie Whitherspoon,Bud Richman,2023-05-14 6:27:00,Unable to install new software,Software,2 - High,2,FALSE
Hardware,Resolved,2023-05-12 2:21:35,2023-05-05 7:09:00,Beth Anglin,INC000000642,employee,Australia,Beth Anglin,David Loo,2023-05-12 2:21:35,Issue with Printer546 in Australia,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-05-19 9:53:35,2023-05-05 20:05:00,Charlie Whitherspoon,INC000000643,admin,India,Beth Anglin,David Loo,2023-05-19 9:53:35,Server failure - server123,Hardware,1 - Critical,4,FALSE
Database,Closed,2023-05-10 22:35:59,2023-05-05 20:26:00,Fred Luddy,INC000000644,admin,United States,Charlie Whitherspoon,David Loo,2023-05-10 22:35:59,Unable to access the database,Database,2 - High,5,FALSE
Inquiry / Help,Closed,2023-05-06 22:24:00,2023-05-05 22:24:00,Charlie Whitherspoon,INC000000645,system,Canada,Charlie Whitherspoon,Don Goodliffe,2023-05-06 22:24:00,Inquiry about help on local systems,Service Desk,3 - Moderate,6,FALSE
Hardware,Resolved,2023-05-13 14:49:23,2023-05-07 9:01:00,Fred Luddy,INC000000646,employee,Australia,Luke Wilson,ITIL User,2023-05-13 14:49:23,Printer546 issue in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-05-13 13:14:46,2023-05-07 11:12:00,Howard Johnson,INC000000647,system,Australia,Luke Wilson,Bud Richman,2023-05-13 13:14:46,Issue with Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-05-14 12:40:41,2023-05-07 12:05:00,Beth Anglin,INC000000648,system,Canada,Howard Johnson,ITIL User,2023-05-14 12:40:41,Issue with Dell521 Desktop PC malfunctioning,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-05-24 17:45:04,2023-05-12 6:51:00,Charlie Whitherspoon,INC000000649,system,Australia,Luke Wilson,ITIL User,2023-05-24 17:45:04,Issue with Printer546 in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-05-19 4:22:50,2023-05-12 11:38:00,Beth Anglin,INC000000650,admin,Australia,Beth Anglin,David Loo,2023-05-19 4:22:50,Printer546 is not printing,Hardware,1 - Critical,1,FALSE
Software,Resolved,2023-05-19 1:48:04,2023-05-13 2:54:00,Luke Wilson,INC000000651,employee,India,Howard Johnson,Don Goodliffe,2023-05-19 1:48:04,Software update failed on the server,Software,3 - Moderate,7,FALSE
Hardware,Closed,2023-05-19 7:25:36,2023-05-14 11:45:00,Fred Luddy,INC000000653,admin,Australia,Luke Wilson,Don Goodliffe,2023-05-19 7:25:36,Printer546 has stopped working in Australia,Hardware,1 - Critical,0,TRUE
Network,Resolved,2023-05-29 13:25:00,2023-05-28 13:25:00,Luke Wilson,INC000000669,system,India,Howard Johnson,Don Goodliffe,2023-05-29 13:25:00,Network outage in Mumbai region,Network,1 - Critical,0,TRUE
Hardware,Closed,2023-05-18 20:30:00,2023-05-17 20:30:00,Fred Luddy,INC000000654,employee,Australia,Howard Johnson,David Loo,2023-05-18 20:30:00,Printer876 is not printing,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-05-27 0:02:45,2023-05-18 7:29:00,Luke Wilson,INC000000655,employee,Australia,Fred Luddy,Bud Richman,2023-05-27 0:02:45,Printer546 malfunction in Australia,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-05-29 16:00:46,2023-05-18 17:29:00,Fred Luddy,INC000000656,system,India,Fred Luddy,Don Goodliffe,2023-05-29 16:00:46,Issue with Dell Inspiron 15,Hardware,2 - High,3,FALSE
Database,Closed,2023-06-05 23:47:52,2023-05-18 22:32:00,Howard Johnson,INC000000657,employee,India,Fred Luddy,ITIL User,2023-06-05 23:47:52,SQL error on Production Server,Database,2 - High,4,FALSE
Hardware,Resolved,2023-06-03 13:13:54,2023-05-19 4:05:00,Charlie Whitherspoon,INC000000658,admin,Australia,Howard Johnson,Bud Richman,2023-06-03 13:13:54,Printer546 encountered an issue,Hardware,1 - Critical,5,FALSE
Hardware,Resolved,2023-05-24 7:52:49,2023-05-20 6:12:00,Beth Anglin,INC000000659,system,Australia,Charlie Whitherspoon,David Loo,2023-05-24 7:52:49,Printer issue with Printer546 in Australia,Hardware,2 - High,6,FALSE
Network,Closed,2023-05-31 3:23:19,2023-05-21 5:49:00,Howard Johnson,INC000000660,employee,India,Charlie Whitherspoon,ITIL User,2023-05-31 3:23:19,Network outage in India region,Network,2 - High,1,FALSE
Hardware,Closed,2023-05-22 23:24:00,2023-05-21 23:24:00,Howard Johnson,INC000000661,system,India,Beth Anglin,ITIL User,2023-05-22 23:24:00,Server failure - static issue,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-05-31 14:07:51,2023-05-22 1:22:00,Beth Anglin,INC000000662,system,Australia,Fred Luddy,Bud Richman,2023-05-31 14:07:51,Printer546 malfunction in Australia,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-06-07 16:18:08,2023-05-24 2:06:00,Fred Luddy,INC000000663,admin,United States,Howard Johnson,Bud Richman,2023-06-07 16:18:08,Issue with processing unit in desktop PC,Hardware,3 - Moderate,3,FALSE
Hardware,Closed,2023-05-27 2:04:45,2023-05-24 3:55:00,Luke Wilson,INC000000664,employee,Australia,Charlie Whitherspoon,Don Goodliffe,2023-05-27 2:04:45,Issue with Printer457 in Australia office,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-05-30 2:59:49,2023-05-26 8:08:00,Fred Luddy,INC000000665,employee,Australia,Luke Wilson,David Loo,2023-05-30 2:59:49,Printer241 issue in Australia,Hardware,1 - Critical,3,FALSE
Hardware,Resolved,2023-05-30 11:21:04,2023-05-26 13:20:00,Fred Luddy,INC000000666,system,Australia,Charlie Whitherspoon,David Loo,2023-05-30 11:21:04,Printer546 failure in Australia,Hardware,1 - Critical,3,FALSE
Hardware,Resolved,2023-05-28 8:38:00,2023-05-27 8:38:00,Charlie Whitherspoon,INC000000667,admin,India,Luke Wilson,David Loo,2023-05-28 8:38:00,Router problem with RTR546 in India,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-06-01 13:53:34,2023-05-27 21:00:00,Fred Luddy,INC000000668,system,Australia,Charlie Whitherspoon,ITIL User,2023-06-01 13:53:34,Printer error on Printer643,Hardware,2 - High,7,FALSE
Hardware,Closed,2023-06-02 0:47:00,2023-06-01 0:47:00,Charlie Whitherspoon,INC000000673,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-06-02 0:47:00,Printer546 is malfunctioning in Australia,Hardware,2 - High,0,TRUE
Software,Resolved,2023-06-07 6:19:03,2023-05-29 4:20:00,Beth Anglin,INC000000670,admin,Canada,Beth Anglin,ITIL User,2023-06-07 6:19:03,Unable to install new software update,Software,2 - High,1,FALSE
Software,Resolved,2023-06-07 15:04:30,2023-05-30 9:43:00,Luke Wilson,INC000000671,system,Australia,Fred Luddy,David Loo,2023-06-07 15:04:30,Software update required,Software,2 - High,1,FALSE
Database,Resolved,2023-06-04 9:17:41,2023-05-30 9:56:00,Luke Wilson,INC000000672,admin,Canada,Howard Johnson,Don Goodliffe,2023-06-04 9:17:41,Issue with performance of database DB202,Database,2 - High,1,FALSE
Hardware,Closed,2023-06-06 8:20:00,2023-06-05 8:20:00,Luke Wilson,INC000000681,admin,Australia,Charlie Whitherspoon,Don Goodliffe,2023-06-06 8:20:00,Printer546 is not working,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-06-13 22:57:17,2023-06-01 13:13:00,Luke Wilson,INC000000674,system,Canada,Charlie Whitherspoon,ITIL User,2023-06-13 22:57:17,Failed Hard Disk on Workstation122,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-06-11 9:48:35,2023-06-02 12:28:00,Luke Wilson,INC000000675,admin,Australia,Beth Anglin,Bud Richman,2023-06-11 9:48:35,Printer fail at printer547,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-06-11 20:25:35,2023-06-02 22:47:00,Howard Johnson,INC000000676,admin,UK,Charlie Whitherspoon,ITIL User,2023-06-11 20:25:35,"Laptop malfunctioning, requires immediate attention",Hardware,2 - High,3,FALSE
Hardware,Closed,2023-06-17 6:06:15,2023-06-03 10:45:00,Luke Wilson,INC000000677,system,Canada,Beth Anglin,Bud Richman,2023-06-17 6:06:15,Hardware malfunction for laptop - Canada location,Hardware,2 - High,4,FALSE
Hardware,Resolved,2023-06-06 12:59:19,2023-06-03 12:39:00,Luke Wilson,INC000000678,employee,Canada,Fred Luddy,ITIL User,2023-06-06 12:59:19,Issue with the server hardware,Hardware,2 - High,5,FALSE
Software,Closed,2023-06-05 15:09:00,2023-06-04 15:09:00,Howard Johnson,INC000000679,system,Canada,Howard Johnson,Don Goodliffe,2023-06-05 15:09:00,An application is consistently crashing,Software,2 - High,6,FALSE
Hardware,Resolved,2023-06-09 23:10:08,2023-06-04 21:23:00,Howard Johnson,INC000000680,employee,Australia,Charlie Whitherspoon,David Loo,2023-06-09 23:10:08,Printer546 is not working properly,Hardware,2 - High,7,FALSE
Hardware,Resolved,2023-06-08 17:00:00,2023-06-07 17:00:00,Beth Anglin,INC000000686,system,Australia,Charlie Whitherspoon,David Loo,2023-06-08 17:00:00,Printer546 - Printer not working,Hardware,3 - Moderate,0,TRUE
Hardware,Closed,2023-06-19 6:59:02,2023-06-06 9:03:00,Howard Johnson,INC000000682,employee,India,Fred Luddy,David Loo,2023-06-19 6:59:02,Server malfunction,Hardware,2 - High,1,TRUE
Hardware,Resolved,2023-06-07 21:23:00,2023-06-06 21:23:00,Luke Wilson,INC000000683,employee,Australia,Beth Anglin,Don Goodliffe,2023-06-07 21:23:00,Printer567 is not working in Brisbane office,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-06-30 13:34:12,2023-06-07 2:47:00,Howard Johnson,INC000000684,system,Australia,Fred Luddy,David Loo,2023-06-30 13:34:12,Printer546 is not working in Australia,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-06-14 11:45:25,2023-06-07 15:24:00,Charlie Whitherspoon,INC000000685,employee,United States,Howard Johnson,David Loo,2023-06-14 11:45:25,Monitor display not working,Hardware,2 - High,1,TRUE
Hardware,Closed,2023-06-15 22:13:18,2023-06-10 17:52:00,Beth Anglin,INC000000690,admin,Australia,Luke Wilson,ITIL User,2023-06-15 22:13:18,Printer error: Paper jam on Printer546 in Australia,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-06-20 19:52:28,2023-06-08 18:44:00,Charlie Whitherspoon,INC000000687,employee,Australia,Beth Anglin,David Loo,2023-06-20 19:52:28,Printer123 is not working properly in Australia location,Hardware,1 - Critical,1,TRUE
Hardware,Closed,2023-06-13 20:13:50,2023-06-08 22:05:00,Howard Johnson,INC000000688,employee,Australia,Luke Wilson,Don Goodliffe,2023-06-13 20:13:50,Printer546 issue in Australia,Hardware,2 - High,1,TRUE
Hardware,Resolved,2023-06-24 9:17:22,2023-06-09 8:53:00,Luke Wilson,INC000000689,system,Australia,Luke Wilson,ITIL User,2023-06-24 9:17:22,Printer error in Printer546,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-06-12 2:12:21,2023-06-10 20:44:00,Beth Anglin,INC000000691,system,Australia,Luke Wilson,Bud Richman,2023-06-12 2:12:21,Printer546 is not printing in the Melbourne office,Hardware,1 - Critical,0,TRUE
Hardware,Closed,2023-06-22 19:04:00,2023-06-21 19:04:00,Beth Anglin,INC000000699,employee,India,Beth Anglin,David Loo,2023-07-01 10:42:22,Issues detected with server123,Hardware,3 - Moderate,0,TRUE
Hardware,Resolved,2023-06-18 8:09:47,2023-06-11 7:00:00,Luke Wilson,INC000000692,admin,Australia,Luke Wilson,Don Goodliffe,2023-06-18 8:09:47,Issue with Printer738 in Australia,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-06-25 12:04:04,2023-06-14 4:06:00,Luke Wilson,INC000000693,system,Australia,Charlie Whitherspoon,Bud Richman,2023-06-25 12:04:04,Printer546 is malfunctioning,Hardware,2 - High,2,FALSE
Inquiry / Help,Closed,2023-06-29 12:44:21,2023-06-15 7:56:00,Luke Wilson,INC000000694,employee,United States,Beth Anglin,David Loo,2023-06-29 12:44:21,Need help with application usage,Service Desk,3 - Moderate,3,FALSE
Network,Closed,2023-06-29 19:11:44,2023-06-19 10:41:00,Howard Johnson,INC000000695,admin,Australia,Howard Johnson,David Loo,2023-06-29 19:11:44,Connection issues with network in Australia,Network,2 - High,4,FALSE
Software,Closed,2023-06-28 14:05:29,2023-06-19 11:21:00,Charlie Whitherspoon,INC000000696,admin,United States,Fred Luddy,ITIL User,2023-06-28 14:05:29,Software update failure,Software,2 - High,5,FALSE
Hardware,Closed,2023-06-25 9:59:55,2023-06-19 12:22:00,Howard Johnson,INC000000697,admin,Canada,Beth Anglin,David Loo,2023-06-25 9:59:55,Server hardware malfunction on SCSI Canada1024,Hardware,2 - High,6,FALSE
Network,Closed,2023-06-22 2:33:39,2023-06-19 13:59:00,Fred Luddy,INC000000698,employee,Canada,Luke Wilson,Don Goodliffe,2023-06-22 2:33:39,Slow network connection in office,Network,2 - High,7,FALSE
Hardware,Resolved,2023-06-23 12:47:00,2023-06-22 17:34:00,Beth Anglin,INC000000700,employee,UK,Fred Luddy,Bud Richman,2023-07-06 13:13:25,Issue with the sound driver on workstation PC8,Hardware,2 - High,0,TRUE
Hardware,Closed,2023-06-24 12:47:00,2023-06-23 12:47:00,Luke Wilson,INC000000701,system,India,Beth Anglin,Bud Richman,2023-07-06 13:08:33,Problem with Cooling Fan,Hardware,2 - High,0,TRUE
Hardware,Resolved,2023-06-29 22:17:24,2023-06-23 12:47:00,Howard Johnson,INC000000702,system,Canada,Fred Luddy,ITIL User,2023-06-29 22:17:24,Hard drive failure on office desktop,Hardware,2 - High,0,TRUE
Database,Resolved,2023-07-06 0:00:59,2023-06-23 12:47:00,Charlie Whitherspoon,INC000000703,employee,UK,Charlie Whitherspoon,David Loo,2023-07-06 0:00:59,Unable to connect to SQL Database,Database,2 - High,0,TRUE
Hardware,Closed,2023-07-26 1:50:52,2023-07-19 12:03:00,Luke Wilson,INC000000733,employee,Australia,Charlie Whitherspoon,Bud Richman,2023-07-26 1:50:52,Printer786 is not working,Hardware,1 - Critical,0,TRUE
Database,Closed,2023-07-01 9:46:56,2023-06-25 10:31:00,Howard Johnson,INC000000704,admin,Australia,Luke Wilson,David Loo,2023-07-01 9:46:56,Database server error 550,Database,2 - High,1,FALSE
Hardware,Resolved,2023-07-06 12:23:48,2023-06-25 22:45:00,Howard Johnson,INC000000705,system,Australia,Howard Johnson,Don Goodliffe,2023-07-06 12:23:48,Printer348 is not responding,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-06-30 6:01:54,2023-06-26 6:56:00,Fred Luddy,INC000000706,employee,Australia,Charlie Whitherspoon,David Loo,2023-06-30 6:01:54,Printer546 is not responding,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-07-09 14:14:30,2023-06-26 8:23:00,Charlie Whitherspoon,INC000000707,admin,United States,Fred Luddy,ITIL User,2023-07-09 14:14:30,PC1023 is not starting,Hardware,1 - Critical,4,FALSE
Hardware,Closed,2023-07-06 7:29:01,2023-06-26 17:38:00,Howard Johnson,INC000000708,admin,Australia,Fred Luddy,Bud Richman,2023-07-06 7:29:01,Printer error at Printer848,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-07-09 20:00:30,2023-06-27 10:20:00,Howard Johnson,INC000000709,system,Australia,Luke Wilson,David Loo,2023-07-09 20:00:30,Printer546 in Sydney office is not working,Hardware,2 - High,1,FALSE
Hardware,Resolved,2023-07-06 3:31:14,2023-06-27 21:41:00,Fred Luddy,INC000000710,admin,UK,Howard Johnson,Don Goodliffe,2023-07-06 3:31:14,Issue with server SR654,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-07-12 18:45:08,2023-06-28 11:02:00,Fred Luddy,INC000000711,admin,Australia,Fred Luddy,David Loo,2023-07-12 18:45:08,Printer546 issue in Sydney office,Hardware,2 - High,3,FALSE
Hardware,Closed,2023-07-06 0:45:36,2023-06-28 14:35:00,Beth Anglin,INC000000712,system,India,Howard Johnson,David Loo,2023-07-06 0:45:36,Terminal343 is not working,Hardware,2 - High,4,FALSE
Hardware,Closed,2023-06-30 23:29:56,2023-06-29 19:01:00,Charlie Whitherspoon,INC000000713,system,Australia,Luke Wilson,David Loo,2023-06-30 23:29:56,Printer error at Printer679,Hardware,3 - Moderate,4,FALSE
Network,Closed,2023-07-10 23:00:16,2023-07-02 7:35:00,Beth Anglin,INC000000714,system,India,Luke Wilson,Bud Richman,2023-07-10 23:00:16,Unable to establish VPN connection,Network,2 - High,4,FALSE
Hardware,Closed,2023-07-14 8:23:51,2023-07-03 6:45:00,Charlie Whitherspoon,INC000000715,system,Australia,Charlie Whitherspoon,ITIL User,2023-07-14 8:23:51,Printer546 is not working!,Hardware,1 - Critical,4,FALSE
Inquiry / Help,Closed,2023-07-15 22:29:06,2023-07-04 4:13:00,Luke Wilson,INC000000716,system,UK,Charlie Whitherspoon,David Loo,2023-07-15 22:29:06,Inquiry regarding help with account access,Service Desk,3 - Moderate,4,FALSE
Hardware,Resolved,2023-07-14 6:35:05,2023-07-04 13:46:00,Fred Luddy,INC000000717,admin,Australia,Luke Wilson,ITIL User,2023-07-14 6:35:05,Printer fail - PrinterID::Printer546,Hardware,2 - High,4,FALSE
Inquiry / Help,Resolved,2023-07-21 18:09:18,2023-07-07 4:36:00,Charlie Whitherspoon,INC000000718,employee,India,Beth Anglin,Bud Richman,2023-07-21 18:09:18,Need assistance with software installation,Service Desk,3 - Moderate,4,FALSE
Inquiry / Help,Resolved,2023-07-08 4:48:00,2023-07-07 4:48:00,Beth Anglin,INC000000719,system,UK,Howard Johnson,David Loo,2023-07-08 4:48:00,Assistance needed with UK enquiry system,Service Desk,3 - Moderate,4,FALSE
Network,Closed,2023-07-11 23:34:29,2023-07-07 5:58:00,Howard Johnson,INC000000720,employee,UK,Howard Johnson,David Loo,2023-07-11 23:34:29,Internet connectivity issue in UK office,Network,2 - High,5,FALSE
Hardware,Resolved,2023-07-13 16:19:34,2023-07-07 20:52:00,Charlie Whitherspoon,INC000000721,employee,Canada,Beth Anglin,Bud Richman,2023-07-13 16:19:34,Server malfunction in Canada,Hardware,3 - Moderate,6,FALSE
Hardware,Closed,2023-07-23 19:05:18,2023-07-08 0:31:00,Luke Wilson,INC000000722,employee,Australia,Charlie Whitherspoon,ITIL User,2023-07-23 19:05:18,Printer malfunction detected on Printer546,Hardware,2 - High,7,FALSE
Hardware,Resolved,2023-07-25 3:32:18,2023-07-09 3:39:00,Beth Anglin,INC000000723,system,India,Howard Johnson,Bud Richman,2023-07-25 3:32:18,Computer not starting,Hardware,2 - High,1,FALSE
Hardware,Closed,2023-07-26 17:51:53,2023-07-11 16:02:00,Luke Wilson,INC000000724,admin,India,Beth Anglin,David Loo,2023-07-26 17:51:53,Laptop malfunction with ID233,Hardware,2 - High,2,FALSE
Hardware,Resolved,2023-07-20 2:37:11,2023-07-11 18:42:00,Howard Johnson,INC000000725,employee,UK,Howard Johnson,Bud Richman,2023-07-20 2:37:11,Phone681 is not responding,Hardware,2 - High,3,FALSE
Hardware,Resolved,2023-07-27 12:30:15,2023-07-12 0:27:00,Charlie Whitherspoon,INC000000726,admin,Australia,Howard Johnson,Bud Richman,2023-07-27 12:30:15,Printer422 is malfunctioning in Australia,Hardware,2 - High,4,FALSE
Software,Closed,2023-07-19 14:54:49,2023-07-12 3:22:00,Luke Wilson,INC000000727,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-19 14:54:49,Error message on Software ABC,Software,3 - Moderate,5,FALSE
Hardware,Resolved,2023-07-14 21:15:32,2023-07-12 5:50:00,Fred Luddy,INC000000728,system,Australia,Fred Luddy,Don Goodliffe,2023-07-14 21:15:32,Printer546 is not working,Hardware,1 - Critical,1,FALSE
Software,Resolved,2023-07-28 21:34:01,2023-07-14 21:27:00,Howard Johnson,INC000000729,system,UK,Beth Anglin,ITIL User,2023-07-28 21:34:01,Slowness in running application XYZ,Software,3 - Moderate,1,FALSE
Hardware,Resolved,2023-07-20 9:47:53,2023-07-15 12:17:00,Fred Luddy,INC000000730,admin,Australia,Beth Anglin,ITIL User,2023-07-20 9:47:53,Issue with Printer546 in Australia,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-07-25 3:53:50,2023-07-15 14:09:00,Fred Luddy,INC000000731,admin,Australia,Howard Johnson,Bud Richman,2023-07-25 3:53:50,Printer546 is not working properly.,Hardware,2 - High,6,FALSE
Hardware,Resolved,2023-07-22 5:03:14,2023-07-16 10:58:00,Beth Anglin,INC000000732,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-22 5:03:14,Printer783 is not printing,Hardware,2 - High,7,FALSE
Software,Closed,2023-07-21 15:12:00,2023-07-20 15:12:00,Beth Anglin,INC000001007,employee,India,Howard Johnson,Bud Richman,2023-07-21 15:12:00,Email server downtime impacting operations,Network,1 - Critical,0,TRUE
Inquiry / Help,Closed,2023-08-01 0:45:23,2023-07-20 12:12:00,Fred Luddy,INC000000734,system,United States,Luke Wilson,Bud Richman,2023-08-01 0:45:23,Inquiry about missing functionalities,Service Desk,3 - Moderate,1,FALSE
Hardware,Resolved,2023-07-23 16:38:47,2023-07-21 7:12:00,Howard Johnson,INC000000735,admin,UK,Charlie Whitherspoon,Bud Richman,2023-07-23 16:38:47,Problem with office PC,Hardware,3 - Moderate,1,FALSE
Hardware,Resolved,2023-07-25 23:13:56,2023-07-22 4:13:00,Charlie Whitherspoon,INC000000736,employee,Australia,Beth Anglin,Don Goodliffe,2023-07-25 23:13:56,Printer546 - Not Printing is causing issues,Hardware,2 - High,1,FALSE
Inquiry / Help,Resolved,2023-07-30 12:07:09,2023-07-22 16:29:00,Fred Luddy,INC000000737,admin,United States,Charlie Whitherspoon,Bud Richman,2023-07-30 12:07:09,Need assistance with software installation,Service Desk,3 - Moderate,1,FALSE
Inquiry / Help,Closed,2023-08-09 3:19:49,2023-07-22 22:39:00,Howard Johnson,INC000000738,employee,United States,Beth Anglin,Bud Richman,2023-08-09 3:19:49,Need help with software installation,Service Desk,3 - Moderate,1,FALSE
Hardware,Closed,2023-08-04 4:46:11,2023-07-22 23:48:00,Howard Johnson,INC000000739,admin,Australia,Beth Anglin,Bud Richman,2023-08-04 4:46:11,Issue with Printer546 in Australia,Hardware,2 - High,2,FALSE
Network,Closed,2023-07-31 0:33:13,2023-07-23 8:50:00,Beth Anglin,INC000000740,admin,Australia,Howard Johnson,Don Goodliffe,2023-07-31 0:33:13,Network router behaving erratically,Network,3 - Moderate,3,FALSE
